"categories","descriptions","phone_number","source","titles"
"2x Сборщик задолженностей","коллектора;локо банк колл",79061860875,"neberitrubku.ru","Сборщик задолженностей;Сборщик задолженностей"
"4x Сборщик задолженностей","сборщик чужих долгов;коллекторы;стьлрмстооо;вымогательство денег;неизвестно",78126700389,"neberitrubku.ru","Сборщик задолженностей;Сборщик задолженностей;Сборщик задолженностей;Сборщик задолженностей;Сборщик задолженностей"
"1x Немой звонок","идет прозвон",79264418537,"neberitrubku.ru","Немой звонок"
"2x Телефонное мошенничество;1x Злонамеренный вызов","""Секрет денег"". Тема типа опционов. Дают $500, но снять их нельзя, необходимо изначально положить денег. Прозванивают и уговаривают положить денег.;коллектора;втб 24, коллекторы;Мошенники, предлагают золотые горы, но для начала нужно им заплатить, называют себя ""секрет денег"";Мошенники;какой то спам",74992703545,"neberitrubku.ru","Политическая организация;Сборщик задолженностей;Сборщик задолженностей;Телефонное мошенничество;Телефонное мошенничество;Злонамеренный вызов"
"2x Немой звонок;1x Компания;1x Телемаркетер","Предлагали услуги Московского оздоровительного центра;прозванивание, немой звонок;Звонят и молчат.;Звонят и молчат.;Навязывают услуги оздоровительного центра",79262166378,"neberitrubku.ru","Предлагали услуги Московского оздоровительного центра (Некоммерческая организация);Немой звонок;Немой звонок;Немой звонок;Телемаркетер;Компания"
"7x Телемаркетер","салон красоты;звонили в 02.30. написала письмо с информацией в роспотребнадзор и жалобу оператору.;позвонили в 4-30 утра, чтобы сообщить об открытии нового салона;салон красоты;задолбали салон красоты;Предлагают бесплатную процедуру. очередной развод;косметический центр",79161703263,"neberitrubku.ru","Телемаркетер;ночные де*илы (Телемаркетер);Телемаркетер;Телемаркетер;Телемаркетер;Салон красоты на Китай-городе (Телемаркетер);Телемаркетер"
"2x Сборщик задолженностей;1x Телефонное хулиганство;1x Нежелательный звонок","восточный банк;Сборщик задолженностей;звонят ищут какого-то незнакомого мне бичару. говорят я его скрываю. ничего не хотят слушать. послал и положил трубку.;звонки с банка;коллектор 12",79641214170,"neberitrubku.ru","Нежелательный звонок;Сборщик задолженностей;Нежелательный звонок;Коллекторы (Телефонное хулиганство);Сборщик задолженностей;Сборщик задолженностей"
"1x Нежелательный звонок","кб Пойдем",78332754577,"neberitrubku.ru","Нежелательный звонок"
"1x Финансовые услуги","Звонили с этого номера, зарегистрированного в Иркутской области на номер, зарегистрированный в Новосибирской. Причем мой модем, который не принял звонок, в Иркутской области знакомых и родственников не имеет, как и я.;Моментальный займ",79294347830,"neberitrubku.ru","Очередной развод или предложение (Нежелательный звонок);Финансовые услуги"
"1x Компания","Рено, служба контроля качества.;Сатурн-Р, Пермь, Подлесная,47а;Сатурн-Р, Пермь, Подлесная,47а",73422385515,"neberitrubku.ru","Компания;Компания;Компания"
"6x Сборщик задолженностей;1x Злонамеренный вызов","сборщик задолжностей;ушлепаны.;сбербанк..;Сбербанк. Вежливые сборщики.;ПАО ""Сбербанк;сбербанк сборщики задолженностей;сбербанк КАЛекторы вымогатели;сбербанк сборщики",79587639131,"neberitrubku.ru","Сборщик задолженностей;Сборщик задолженностей;Злонамеренный вызов;Сборщик задолженностей;Сборщик задолженностей;Сборщик задолженностей;Сборщик задолженностей;Сборщик задолженностей;Сборщик задолженностей;Сборщик задолженностей"
"5x Сборщик задолженностей;1x Нежелательный звонок;1x Злонамеренный вызов","хоум кред надоели;Мосльсьажючбыьв;тип в Владивосток рп по оаввч по одному да по о им Алла;Задолбали;хомял блин!;попрашайки;хоум кредит;не хочу разговаривать",79636983067,"neberitrubku.ru","Злонамеренный вызов;Злонамеренный вызов;Сборщик задолженностей;Хоум кридит  (Сборщик задолженностей);Сборщик задолженностей;Сборщик задолженностей;Сборщик задолженностей;Нежелательный звонок"
"1x Сборщик задолженностей","удобные деньги",79227160797,"neberitrubku.ru","Сборщик задолженностей"
"1x Телемаркетер","Впаривают какую-то акцию по пластиковым окнам",79048268032,"neberitrubku.ru","Телемаркетер"
"5x Злонамеренный вызов;4x Сборщик задолженностей;3x Финансовые услуги;2x Колл-центр;1x Немой звонок","Сборщик Альфа банк;альфадятлы;альфа банк;альфа банк;альфадятлы;Альфа банк;звонят и молчание;собаки дикие;сбор задолженностей;альфа банк;лето бан.;летобанк.;альфа банк;альфа банк задолбал!!!;альфа банк задолбал!!!;альфа банк",74992710692,"neberitrubku.ru","Злонамеренный вызов;Сборщик задолженностей;Сборщик задолженностей;Альфа банк (Сборщик задолженностей);Нежелательный звонок;Сборщик задолженностей;Злонамеренный вызов;Сборщик задолженностей;Немой звонок;Колл-центр;Злонамеренный вызов;Финансовые услуги;Финансовые услуги;Сборщик задолженностей;Колл-центр;Сборщик задолженностей;Злонамеренный вызов;Злонамеренный вызов;Злонамеренный вызов;Финансовые услуги"
"1x Колл-центр","собиратель задолженности;животное б.......ть из ситилема;сетилен банк;достали уже",78452377720,"neberitrubku.ru","Колл-центр;Финансовые услуги;Сборщик задолженностей;Колл-центр"
"22x Злонамеренный вызов;7x Финансовые услуги;5x Сборщик задолженностей;4x Нежелательный звонок;1x Телемаркетер;1x Колл-центр;1x Телефонное мошенничество","Кредит плюс  микрозаймы;предзаявка на кредит;Типо Кредит+;Сервис быстрых займов Кредит+;дэбилы.           щас;не беру трубку коллектор;ух ух вверх верх;вам одобрен кредит. нажмите 1. по 100 раз звонит;Телефонные терриросты. Звонят по несколько раз. Говорит автомат. Сервис по предоставлению займов ""Кредит-плюс"".;кредит предлогают;Кто то злой<U+00A1>;займ предлагают;колекторы шмолекторы;не брать трубку;**** предлагать оформите заявку ночью звонят достали уже;Микро займы могут звонить по 10 раз в час днём и ночью нарушая все права;предлагаю взять займ, якобы была оформлена заявка.;Звонят днём и ночью задолбали.я кредиты никогда не брала.;кредитплюс;коллектора долбанные;задолбали уже;закалебали звонить;займы кредит;задолбали названивать;надоели звонить;Ваш займ пркдообобрен нажмите 1для получения.;хуйнина1991;предлагают кредит",74991104902,"neberitrubku.ru","Факс-машина;Финансовые услуги;Злонамеренный вызов;Телефонное мошенничество;Финансовые услуги;Сборщик задолженностей;Колл-центр;Злонамеренный вызов;Немой звонок;Кредит-плюс (Автомат);Финансовые услуги;Злонамеренный вызов;Финансовые услуги;Злонамеренный вызов;Колл-центр;Злонамеренный вызов;Финансовые услуги;Колл-центр;Нежелательный звонок;Звонят и предлогают займы,звонят в любое время дня и ночи!!! (Финансовые услуги);Финансовые услуги;Колл-центр;Сборщик задолженностей;Колл-центр;Злонамеренный вызов;Финансовые услуги;Финансовые услуги;Займы (Автомат);Злонамеренный вызов;Злонамеренный вызов"
"22x Злонамеренный вызов;7x Финансовые услуги;5x Сборщик задолженностей;4x Нежелательный звонок;1x Телемаркетер;1x Колл-центр;1x Телефонное мошенничество","кредит плюс.достали предлагать займ;Звонят и принуждают вернуть задолженност;займы предлогают;задолбали.задолбали.;предлагают займ;коллектор, автоответчик;звонят молчат;тишина, молчание, *!;звонят в любое время, чаще ночью;кредит плюс *;кредит плюс не знаю что надо;кредит плюс не знаю что надо;****, звонят по 30 раз, в чёрный список их.;банки колл центры;подымаю трубку молчат! надоели уже звонить.;кредит плюс;Звонят и сбрасывают. За полдня раз 30 уже позвонили. В чёрный список. Не хотят общаться, нечего звонить.;* втюхивать кредит,замучили звонками;Credit+, предлагают микрозайм.;МФО Кредит Плюс прозваниет автоответчике раз 10 на день, предлагают займ достали конкретно.;предлагают деньги;банки колл центры;Моя заявка на кредит предодобрена))) Это что за слово такое новое?;незнаю кто;прозванивают каждые три минуты т сбрасывают;Банк с*;предлагают кредит;надоели,достали,со своими звонками;credit plus;creditplus - запугивают, хамят, видимо не читали 230 фз))) и что им за это будет)))",74991104902,"neberitrubku.ru","Финансовые услуги;Коллектора (Сборщик задолженностей);Финансовые услуги;Сборщик задолженностей;Финансовые услуги;Злонамеренный вызов;Злонамеренный вызов;Злонамеренный вызов;Злонамеренный вызов;Злонамеренный вызов;Злонамеренный вызов;Злонамеренный вызов;Злонамеренный вызов;Злонамеренный вызов;Нежелательный звонок;Сборщик задолженностей;Кредит плюс (Злонамеренный вызов);Злонамеренный вызов;Финансовые услуги;Телефонное мошенничество;Финансовые услуги;Злонамеренный вызов;Какой то * банк (Финансовые услуги);Злонамеренный вызов;Злонамеренный вызов;Злонамеренный вызов;Злонамеренный вызов;Злонамеренный вызов;Сборщик задолженностей;Злонамеренный вызов"
"22x Злонамеренный вызов;7x Финансовые услуги;5x Сборщик задолженностей;4x Нежелательный звонок;1x Телемаркетер;1x Колл-центр;1x Телефонное мошенничество","creditplus - запугивают, хамят, видимо не читали 230 фз))) и что им за это будет)));не хочу общаться;Не брать трубку;creditplus - запугивают, хамят, видимо не читали 230 фз))) и что им за это будет)));Блин,достали уже со своим предложением.Автомат звонит.Кредит плюс.;звонят по ночам займы прежлагают;Фигнёй занимаются не чего не кому не дают;Навязывание займов;попрошайки;это kredit-plus.;Пока-что мне не удалось найти никаких сведений об этом номере, в интернете никаких информаций, но может быть здесь кто-нибудь мне поможет с этим? В прошлом мне уже удалось найти на этом сайте нужную мне информацию благодаря опыту остальных, которые поделились им со мной.",74991104902,"neberitrubku.ru","Злонамеренный вызов;кредит плюс (Злонамеренный вызов);Сборщик задолженностей;Злонамеренный вызов;Нежелательный звонок;Нежелательный звонок;kredit-plus. (Колл-центр);Финансовые услуги;Телемаркетер;Финансовые услуги;Нежелательный звонок"
"5x Сборщик задолженностей;1x Немой звонок;1x Колл-центр","спасибо большое;Сбербанк калы;банк сбор финансы;выбивальщики долгов;сборщик задолжностей;Сбербанк;коллекторы;коллекторы сбера;Аймани банк;ренессанс кредит",79587639073,"neberitrubku.ru","Сборщик задолженностей;Злонамеренный вызов;Сборщик задолженностей;Финансовые услуги;сбер, калы (Сборщик задолженностей);Колл-центр;Сборщик задолженностей;Немой звонок;Сборщик задолженностей;Сборщик задолженностей;Сборщик задолженностей"
"7x Сборщик задолженностей","сборщик задолженности;коллекторы;Кредит Инкассо попрошайничают;навязчивый;альфа банк;Коллекторы;задолжали просто;каллыыыыыыыы;каллыыыыыыыы;еврейбанк каллы;Кредит Инкассо попрошайничают;Коллектор;кредит инкасса русс",74956402198,"neberitrubku.ru","Колл-центр;Злонамеренный вызов;Сборщик задолженностей;Нежелательный звонок;Колл-центр;Сборщик задолженностей;Сборщик задолженностей;Сборщик задолженностей;Телефонное хулиганство;Сборщик задолженностей;Сборщик задолженностей;Сборщик задолженностей;Сборщик задолженностей;Сборщик задолженностей;Сборщик задолженностей"
"2x Злонамеренный вызов;1x Финансовые услуги;1x Сборщик задолженностей","каллы какие-то;коллекторы;коллекторы;Коллектор;коллекторы;упыри каллы эос;злодеи позорные;не брать трубку;кредитных.;Сборщик задолженности;коллекторы;кал диарея России;Финансовая компания эриус;коллектлры",79034832935,"neberitrubku.ru","Немой звонок;Сборщик задолженностей;Сборщик задолженностей;Злонамеренный вызов;Сборщик задолженностей;Коллектор Москва (Сборщик задолженностей);Сборщик задолженностей;Сборщик задолженностей;Телефонное хулиганство;Злонамеренный вызов;Злонамеренный вызов;Сборщик задолженностей;Сборщик задолженностей;Злонамеренный вызов;Сборщик задолженностей;Финансовые услуги;Злонамеренный вызов"
"8x Сборщик задолженностей;3x Злонамеренный вызов;1x Колл-центр","звонят без конца коллекторы;сборщик задолженности;сыквоя крысы;через плащ;кыш под лавку;коллекторы;каллыкакалы райфайзенг;коллекторы;коллекторы;коллектора;коллекторы Секвойя;От сбербанка;сборщик задолжностей;коллекторы;коллекторы;коллектора",79270432113,"neberitrubku.ru","Сборщик задолженностей;Сборщик задолженностей;Сборщик задолженностей;Сборщик задолженностей;Колл-центр;Сборщик задолженностей;Колл-центр;Коллекторы Почта банк (Сборщик задолженностей);Колл-центр;Сборщик задолженностей;Сборщик задолженностей;Злонамеренный вызов;Злонамеренный вызов;Сборщик задолженностей;Сборщик задолженностей;Сборщик задолженностей;Злонамеренный вызов;Сборщик задолженностей;Сборщик задолженностей"
"3x Компания","магазин техники;Электрогор electrogor.ru;Electrogor.ru;Electrogor.ru",74952324431,"neberitrubku.ru","Компания;Компания;Компания;Компания"
"1x Телемаркетер","навязывают услуги....звонят под видом центра здоровья",79514141165,"neberitrubku.ru","Предложили услуги от центра здоровья (Финансовые услуги);Телемаркетер"
"1x Сборщик задолженностей","деньги в руки",79217335185,"neberitrubku.ru","Сборщик задолженностей"
"4x Колл-центр;2x Злонамеренный вызов;1x Сборщик задолженностей","Официальный номер Сбера этот, не волнуйтесь;услуги предлагали;мошенничество, будьте осторожны;Коллекторы;развод звонит;Сбербанк, предложение доп услуг;Коллекторы",74996529020,"neberitrubku.ru","Сбербанк (Колл-центр);Колл-центр;Злонамеренный вызов;Сборщик задолженностей;Злонамеренный вызов;Колл-центр;Колл-центр"
"1x Злонамеренный вызов","доступная стоматология;стоматология",78123392757,"neberitrubku.ru","Компания;Злонамеренный вызов"
"5x Финансовые услуги;4x Немой звонок;3x Сборщик задолженностей;1x Телефонное мошенничество","****;Достали названивать..отклоняешь вызов и через секунду опять...скорее всего звонит робот..;Ульяновмкий почтам;задолбали;Росденьги колекторы;Предлагали займ;Тинькофф банк звонит;росденьги, звонят надоедают",79278324417,"neberitrubku.ru","Ошиблись номером, не в первый раз (Нежелательный звонок);Звонят не переставая (Финансовые услуги);Немой звонок;+7 927 832-44-17 (Телефонное мошенничество);говорили ,я ошиблась номером? (Сборщик задолженностей);Немой звонок;Сборщик задолженностей;Сборщик задолженностей;рос банк (Финансовые услуги);Рос деньги (Финансовые услуги);Немой звонок;Немой звонок;Тинькофф (Финансовые услуги);Навязывание какой то услуги от рос деньги (Финансовые услуги);Немой звонок;Финансовые услуги"
"2x Злонамеренный вызов;1x Финансовые услуги","калы;коллекторв;Альфа-банк навязывание кредитов",79655081097,"neberitrubku.ru","СКБ-банк. (Сборщик задолженностей);калы (Злонамеренный вызов);Злонамеренный вызов;Финансовые услуги"
"2x Колл-центр;1x Немой звонок","Звонят и через секунду сбрасывают,колл-цент Юр.услуг.;звонят, сбрасывают, презваниваешь автоответчик предлагает услуги юристов и все такое, в общем непонятно откуда взяли номер, буду жаловаться на них если узнаю кто такие.;звонят и сбрасывают",79384255400,"neberitrubku.ru","Звонят и через секунду сбрасывают,колл-цент Юр.услуг. (Колл-центр);Юридические услуги (Колл-центр);кол центр предлагают услуги юристов (Колл-центр);Немой звонок"
"3x Сборщик задолженностей","Сбор долгов;Каллы траст. Звонят не с фиксированного (стационарного) номера телефона, нарушая Федеральный закон 230 от 03.07.2016г. (ст.7 п.9), а также нарушают лимит по кол-ву совершаемых звонков (см. п.5). Посылайте их на фиг!;Каллы траст. Звонят не с фиксированного (стационарного) номера телефона, нарушая Федеральный закон 230 от 03.07.2016г. (ст.7 п.9), а также нарушают лимит по кол-ву совершаемых звонков (см. п.5). Посылайте их на фиг!;тупорылый банк траст!!!!говорю таких тут нет,а они все равно настёбывают!!!!;траст банк;траст банк;траст;траст банк;Гей-клуб Голубая устрица;трасты !!!;траст * банка;банк траст;коллекторы",79858629379,"neberitrubku.ru","Злонамеренный вызов;Сборщик задолженностей;Траст банк (Сборщик задолженностей);Злонамеренный вызов;Колл-центр;Колл-центр;Сборщик задолженностей;Колл-центр;Сборщик задолженностей;Сборщик задолженностей;Сборщик задолженностей;Сборщик задолженностей;Сборщик задолженностей"
"1x Немой звонок","такси сити;такси максим",79038010770,"neberitrubku.ru","Сервис;Немой звонок"
"3x Телемаркетер;2x Нежелательный звонок;1x Колл-центр;1x Финансовые услуги;1x Сборщик задолженностей","Тупо холодный обзвон с целью поиска клиентов. Впаривание каких то программ. Не ведитесь- отшивайте. Пруд пруди таких нынче.;юридические услуги;Мтс
Блокировать;6 не принятых с этого номера ночью.
Был бы нормальный человек смснул бы чего ему нужно.
А вот так тупо 6 раз набирать номер не учитывая разницу во времени это просто свинство.;Коллекторы;Наглая девушка навязывает финансовые услуги.;предлагают услуги консультант+, навязчиво;Впаривают прессу для бухгалтеров",74992701614,"neberitrubku.ru","Представился Славой (Нежелательный звонок);Телемаркетер;Колл-центр;Нежелательный звонок;Сборщик задолженностей;Финансовые услуги;Телемаркетер;Телемаркетер"
"2x Сборщик задолженностей","русский стандарт;Русский вымогатели",79823594984,"neberitrubku.ru","Сборщик задолженностей;Сборщик задолженностей"
"1x Колл-центр","Верамед  - мед центр;Медицинский центр Верамед",74951500303,"neberitrubku.ru","Колл-центр;Колл-центр"
"30x Сборщик задолженностей;6x Колл-центр;5x Нежелательный звонок;4x Злонамеренный вызов;2x Немой звонок;1x Телемаркетер;1x Телефонное мошенничество","fuk..
не пойму какое ко мне может быть отношение кол...;Коллекторы;первое колл агенство.;коллектор;коллекторы;собаки сутулые звонят,не отвечайте)));достали .;надоело звонкими;На кол их;нищеброды,вымогатели;им приходиться объяснять по многу раз в течении дня некоторые вещи, но они настойчиво звонят снова и снова. заблокировать их пусть отдохнуть а то так и до ""медали"" доработаются  от мошенников которые берут под чужой паспорт займы и кредиты.;коллекторы неадекватные;гей клуб ищут спонсоров;первый калл;Коллекторы это;коллекторы неадекватные;коллекторы;Калы не снимать;коллекторы;коллекторы;коллекторы;телефонное мошенничество;коллекторы;побирушки ПКБ;Коллекторы;коллекторы;достали уже московские *;Втб 24 Сборщики",74950090147,"neberitrubku.ru","Сервис;Сборщик задолженностей;Сборщик задолженностей;Сборщик задолженностей;Нежелательный звонок;Сборщик задолженностей;Сборщик задолженностей;Сборщик задолженностей;Нежелательный звонок;попрошайки из сточной трубы, вымогатели пиндосовские (Колл-центр);Колл-центр;Сборщик задолженностей;Сборщик задолженностей;Злонамеренный вызов;Сборщик задолженностей;Сборщик задолженностей;Сборщик задолженностей;Злонамеренный вызов;Сборщик задолженностей;Сборщик задолженностей;Сборщик задолженностей;Сборщик задолженностей;Телефонное мошенничество;Колл-центр;Сборщик задолженностей;Сборщик задолженностей;НСВ (Сборщик задолженностей);Колл-центр;Сборщик задолженностей;Нежелательный звонок"
"30x Сборщик задолженностей;6x Колл-центр;5x Нежелательный звонок;4x Злонамеренный вызов;2x Немой звонок;1x Телемаркетер;1x Телефонное мошенничество","коллекторы;ПКБ, коллекторы.;это коллекторы;первый калл;Трубку не брать;1- ое  каллекторское агенство;спрашивают про чужие долги;Надоели звонить;коллекторы;1кал агентство;****,законы не писаны для них;коллекторы;коллекторы;коллекторы;Коллекторы;задолбали упыри;ВЫМОГАТЕЛИ;первое коллекторскою бюро;Первое коллекторское бюро... Только что звонили... Просто послал в пешее эротическое путешествие :);Позвонили и молчали;непонятно кто;коллекторы;пкб колекторы;коллекторы;ПКБ попрошайки;первое коллекторское бюро",74950090147,"neberitrubku.ru","Сборщик задолженностей;Сборщик задолженностей;Колл-центр;Сборщик задолженностей;Сборщик задолженностей;Сборщик задолженностей;Сборщик задолженностей;Нежелательный звонок;Сборщик задолженностей;Сборщик задолженностей;Нежелательный звонок;Телемаркетер;Сборщик задолженностей;Сборщик задолженностей;Сборщик задолженностей;Сборщик задолженностей;Колл-центр;Сборщик задолженностей;Нежелательный звонок;Немой звонок;Немой звонок;Сборщик задолженностей;Злонамеренный вызов;Злонамеренный вызов;Сборщик задолженностей;Сборщик задолженностей"
"5x Сборщик задолженностей","совкомбанк;росбанк задолженности;Коллекторы от  росбанка сосьете, не  при  детях будет  сказано,  женераль...  наглые, робот звонит каждые  3 минуты с  разных  номеров, но  первые  цифры  совпадают 8 903 ХХХХХХХХ,  вроде  Красноярск...;рос банк робот;Росбанк сборщики задолженности;Росбанк сборщики задолженности;Росбанк робот",79039865881,"neberitrubku.ru","Сборщик задолженностей;Сборщик задолженностей;Сборщик задолженностей;Сборщик задолженностей;Сборщик задолженностей;Сборщик задолженностей;Сборщик задолженностей"
"4x Колл-центр;1x Телемаркетер","бутиллированная вода;Питьевая вода;навязывают воду",79296286415,"neberitrubku.ru","бутилированная вода (Телемаркетер);Колл-центр;Колл-центр;Колл-центр;Колл-центр"
"1x Злонамеренный вызов","идеод полный",73425541871,"neberitrubku.ru","Злонамеренный вызов"
"2x Сборщик задолженностей","банк восточный;восточный банк",79609698747,"neberitrubku.ru","Сборщик задолженностей;Сборщик задолженностей"
"5x Немой звонок","сбрасывают;Сбросили сразу же;Позвонили и сбросили;Збрасывают;Звонят и сбрасывают",79313097609,"neberitrubku.ru","Немой звонок;Немой звонок;Немой звонок;Немой звонок;д (Немой звонок)"
"2x Колл-центр;1x Сборщик задолженностей","Колл-центр;колл-центр;СКБ- банк долг",73912496687,"neberitrubku.ru","Нежелательный звонок;Колл-центр;Колл-центр;Сборщик задолженностей"
"2x Сборщик задолженностей;1x Колл-центр;1x Злонамеренный вызов","сборщики долгов;с угрозой что приедут не ожиданно и это будет весьма плачевно. с угрозой жизни.;коллектора ростов;смешные ростовские звонилки",79034375855,"neberitrubku.ru","Злонамеренный вызов;коллекторы (Злонамеренный вызов);Колл-центр;Сборщик задолженностей;ванкликмани (Сборщик задолженностей)"
"6x Сборщик задолженностей;3x Колл-центр","восточный банк;хамы угрожают;коллекторы угрожают хамят;коллекторы;Разговаривают по хамски;достали, где то номер взяли, и названивают, грубят и хомят, не представившись!!! хотя никаких общих дел у меня с ними нет!;достали уже;восточный экспресс банк;Восток   банк;Восточный экспресс банк",79631862114,"neberitrubku.ru","Колл-центр;Колл-центр;Колл-центр;Колл-центр;Сборщик задолженностей;Сборщик задолженностей;Сборщик задолженностей;Сборщик задолженностей;Сборщик задолженностей;Сборщик задолженностей"
"4x Сборщик задолженностей;2x Колл-центр;2x Нежелательный звонок;2x Злонамеренный вызов","не брать трубку;коллекторы Кредит Экспресс;отрицательно;кредит экспресс;кредит экспресс;кредит экспресс;кредит экспресс финанс. длб блт.;калл каллыч;кредит экспресс;ка кредит экспресс финанс новые номера прикупили;очень настырные;коллекторы;кредит–эксперт россия",79685319001,"neberitrubku.ru","Кр (Сборщик задолженностей);Сборщик задолженностей;Злонамеренный вызов;Сборщик задолженностей;Колл-центр;Колл-центр;Сборщик задолженностей;Нежелательный звонок;Сборщик задолженностей;Злонамеренный вызов;Злонамеренный вызов;Нежелательный звонок;Сборщик задолженностей;Сборщик задолженностей;Колл-центр;Колл-центр"
"2x Злонамеренный вызов;1x Немой звонок","коллекторы;звонят и молчаь;выбивальщики чужих кредитов;вестфалика;играет музыка, оператора не дождешься;вредный звонок",79139825869,"neberitrubku.ru","Злонамеренный вызов;Колл-центр;Колл-центр;Злонамеренный вызов;Немой звонок;Злонамеренный вызов"
"3x Колл-центр;1x Нежелательный звонок;1x Телемаркетер;1x Немой звонок","диетологический мед цетр;Трезвонит настойчиво несколько раз, следом так же звонят с другого номера.;Представляются диетологами. Откуда-то знают имя.;здоровая Россия;звонят и молчат;звонят сбрасывают",79269836830,"neberitrubku.ru","Телемаркетер;Колл-центр;Колл-центр;Колл-центр;Немой звонок;Нежелательный звонок"
"1x Компания","Холодный обзвон компании по установке пластиковых окон.
На вопрос, откуда взяли номер телефона, бросают трубку",79667083801,"neberitrubku.ru","Аватар (Компания)"
"1x Сервис;1x Телемаркетер","запчасти русь;Автосервис РусьАвто Щербинка",74952761717,"neberitrubku.ru","Телемаркетер;Сервис"
"3x Сборщик задолженностей;1x Колл-центр","константа чертова;автоответчик;деньга колл центр;сборщик долгов",78126707682,"neberitrubku.ru","Сборщик задолженностей;Сборщик задолженностей;Колл-центр;Сборщик задолженностей"
"3x Финансовые услуги;2x Нежелательный звонок;1x Соцопрос;1x Сборщик задолженностей","финансовый брокер;Предлагают подобрать кредит;Предлагают заполнить анкету и подобрать Вам кредит якобы в банках партнёрах. Любой человек при наличии интернета может это сделать сам и без посредников.;отрицательная оценка;юнион финанс;полагаюсь на прошлые комментарии;Периодически звонят, угрожают (""у Вас будут проблемы"") и требует оплатить за кого-то ЕГО долг!;Звонили предложили займ,приехала, оформили,дали карту,через час они обнулили карту,сказав что у меня ненастоящие ФИО, причём взяв за услугу 1000 рублей...в общем нечестный бизнес;мфо юнион финанс;Займы. Юнион финанс.
https://union-finance.ru/",78003333176,"neberitrubku.ru","Финансовые услуги;Колл-центр;Предлагают подобрать кредит и сделать рассылку по банкам (Финансовые услуги);Колл-центр;Финансовые услуги;Нежелательный звонок;ЮнионФинанс (Сборщик задолженностей);Соцопрос;Финансовые услуги;Нежелательный звонок;Финансовые услуги"
"9x Сборщик задолженностей;3x Злонамеренный вызов;1x Колл-центр;1x Нежелательный звонок","кредит экспресс финанс;Каллы кредит экспресс. Звонят не с фиксированного (стационарного) номера телефона, нарушая Федеральный закон 230 от 03.07.2016г. (ст.7 п.9), а также нарушают лимит по кол-ву совершаемых звонков (см. п.5). Посылайте их на фиг!;не брать трубку;калллллы упыри;кредит финанс;кредит экспресс;каллы шакалы;коллекторы калы!!!!?;Кредит экспресс;коллекторы;коллекторы;каллы. звонят с ip телефона.;ка кредит экспресс финанс;бомбилы кредит экспресс;задолбыши!!!;экспресс кредит банк;задолбыши",79685132082,"neberitrubku.ru","Злонамеренный вызов;Кредит Экспресс Финанс (Сборщик задолженностей);Злонамеренный вызов;Сборщик задолженностей;Колл-центр;Сборщик задолженностей;Нежелательный звонок;Сборщик задолженностей;Злонамеренный вызов;Сборщик задолженностей;Сборщик задолженностей;Сборщик задолженностей;Сборщик задолженностей;Сборщик задолженностей;Сборщик задолженностей;Злонамеренный вызов;Злонамеренный вызов;Колл-центр;Сборщик задолженностей"
